planner,transformer,n_collisions,path_length,n_collisions_std,planning_duration_std,path_length_std,num_failed,n_obs,is_full_dim,duration,duration_std
PRM,FeatureAgglomeration,0.0,90.749431247663594,0.0,nan,21.57568229931082,81,250,False,0.99826285713597351,0.33955142060415716
PRM,FeatureAgglomeration,0.0,80.820211487827322,0.0,nan,17.346572692833639,75,300,False,0.91066931724548339,0.42827520042655326
PRM,FeatureAgglomeration,0.0,80.080905888762445,0.0,nan,13.746512387327137,90,350,False,1.1715668916702271,0.61295834845404418
RRTConnect,FeatureAgglomeration,0.0,97.183179106741875,0.0,nan,17.383168609650312,48,250,False,1.063753604888916,0.35280937417922481
RRTConnect,FeatureAgglomeration,0.0,94.648921694793714,0.0,nan,11.311935042581668,75,300,False,1.148168249130249,0.28982551864913569
RRTConnect,FeatureAgglomeration,0.0,90.932462622936242,0.0,nan,14.342388420199885,85,350,False,1.2203199386596679,0.21019593327992678
PRM,TruncatedSVD,0.0,108.18379959371404,0.0,nan,24.663731361127674,26,250,False,0.84813494295687286,0.50905687044433545
PRM,TruncatedSVD,0.0,116.47976981048531,0.0,nan,36.2398782423368,45,300,False,1.0644518115303734,0.52744196306314894
PRM,TruncatedSVD,0.0,108.80909743287104,0.0,nan,28.903014734411371,50,350,False,1.065099835395813,0.50036106888236742
RRTConnect,TruncatedSVD,0.0,112.59739191901009,0.0,nan,16.63880704310543,5,250,False,0.67821874367563351,0.3481432391368417
RRTConnect,TruncatedSVD,0.0,116.06061953418772,0.0,nan,19.060827407064206,21,300,False,0.86044657079479359,0.34109896135537648
RRTConnect,TruncatedSVD,0.0,117.52965961629714,0.0,nan,16.414535730148295,27,350,False,0.98938280588959993,0.35049406195874028
PRM,PCA,0.0,105.80144459924831,0.0,nan,20.064797151208481,39,250,False,0.72142535741211933,0.46958368330954586
PRM,PCA,0.0,108.07145580836541,0.0,nan,25.120907045766071,43,300,False,1.0539294669502659,0.51759698609656657
PRM,PCA,0.0,119.88382298506433,0.0,nan,31.803961405029707,59,350,False,1.0441538764209282,0.55804120800118917
RRTConnect,PCA,0.0,113.97966948100694,0.0,nan,19.301522984737179,8,250,False,0.6400821183038794,0.28500166319790021
RRTConnect,PCA,0.0,119.52128714701435,0.0,nan,16.693632349836115,12,300,False,0.95786850018934766,0.35536107737673228
RRTConnect,PCA,0.0,113.78708821081713,0.0,nan,13.899405422807298,24,350,False,0.95411082317954621,0.38241189392111991
PRM,RandomizedPCA,0.0,108.57882372834209,0.0,nan,26.827205775750883,31,250,False,0.88853269383527234,0.51541947220170548
PRM,RandomizedPCA,0.0,107.86601957793019,0.0,nan,25.944867984859684,43,300,False,0.85717264392919712,0.48552483056315554
PRM,RandomizedPCA,0.0,108.83687202133723,0.0,nan,25.560003186343788,55,350,False,0.98243604236178927,0.47574163689687082
RRTConnect,RandomizedPCA,0.0,115.32631572993985,0.0,nan,17.043398315036008,3,250,False,0.63263481179463499,0.27227325672066771
RRTConnect,RandomizedPCA,0.0,117.18483859632761,0.0,nan,17.320705490695538,15,300,False,0.89820293819203101,0.34463450840512033
RRTConnect,RandomizedPCA,0.0,121.91379475784801,0.0,nan,18.729902745453348,33,350,False,1.0208328375175817,0.37390884873414482
PRM,No Transform,0.0,57.055881710555511,0.0,nan,1.9075919883313486,0.0,250,True,1.5403359150886535,0.24268520017123971
PRM,No Transform,0.0,56.912256878919891,0.0,nan,1.8038118849307929,0.0,300,True,1.8157385301589966,0.23766470850987376
PRM,No Transform,0.0,57.359875987633934,0.0,nan,2.3213352290123521,0.0,350,True,2.1117602014541625,0.30255075025363271
RRTConnect,No Transform,0.020202020202020204,58.626676860990266,0.19998979669922559,nan,1.8282885469564019,1,250,True,0.79529993461840076,0.1088842918262518
RRTConnect,No Transform,0.0,59.130353866389129,0.0,nan,2.9236709028053096,0.0,300,True,0.97974805355072025,0.11348035399119687
RRTConnect,No Transform,0.0,58.865756938228003,0.0,nan,2.658665235806088,0.0,350,True,1.151466999053955,0.12399369591354628
